2018:2019,NSE,Log-NSE,KGE,PBIAS(%)
MGB,0.866,0.903,0.922,3.166
SAC,0.824,0.866,0.752,5.802
GR4J,0.822,0.849,0.859,3.772
HYMOD,0.836,0.7,0.842,6.198
SMAP,0.799,0.601,0.869,1.843
IPH2,0.87,0.82,0.915,-6.399
