2018:2019,NSE,Log-NSE,KGE,PBIAS(%)
MGB,-3.199,0.128,0.072,-67.912
SAC,0.398,0.71,0.654,-5.795
GR4J,-0.191,0.608,0.553,-18.402
HYMOD,0.25,0.433,0.465,-24.925
SMAP,0.16,0.372,0.543,-25.59
IPH2,-0.151,0.486,0.544,-28.922
