Parametros,Par_LOG,Par_DRMS,Par_MACS,Par_NSE
UZTWM,106.198925642321,195.13897632934987,195.13897632934987,53.68902371882836
UZFWM,139.15846876624852,149.5522177184486,149.5522177184486,11.512730564526768
LZTWM,126.2189928397136,126.2189928397136,85.86876152534946,146.90517561816108
LZFPM,331.45543626075806,331.45543626075806,576.2973900834578,52.43806205855957
LZFSM,398.0694310626694,398.0694310626694,397.91013110789146,52.6853285390646
UZK,0.40628384081933955,0.7304989083903254,0.7304989083903254,0.4619755250792309
LZPK,0.008074004620340875,0.008074004620340875,0.010510469715251214,0.03815624552647948
LZSK,0.09060776517217553,0.09060776517217553,0.07701841016919418,0.3404406486076332
ADIMP,0.15138521197312657,0.19988411224928843,0.19988411224928843,0.004814715224657601
PCTIM,0.09449122762013422,0.19967602695605863,0.1195812156079955,0.1731939096740977
ZPERC,256.43788164677596,21.54042476894387,21.54042476894387,151.9847922245524
REXP,1.449692943149397,4.973433369505836,4.973433369505836,4.948403457662807
PFREE,0.6570839996682317,0.6570839996682317,0.7473827451277313,0.5597547659635164
NUH,1.5145335912952798,1.659467180694049,1.4374195548083357,3.9471657557545705
KUH,2.811153341735447,5.031618361174985,3.8295559081474613,2.912799647865054
NMSK,,,,
KMSK,,,,
XMSK,,,,
