Parametros,Par_LOG,Par_DRMS,Par_MACS,Par_NSE
UZTWM,196.6122149995921,82.87413590009137,82.87413590009137,48.697410157865434
UZFWM,6.373509925644695,6.111847452101474,6.111847452101474,6.618491339124836
LZTWM,23.35168571805939,23.35168571805939,71.52460864759051,332.281328375806
LZFPM,946.560319661004,946.560319661004,917.1357523270603,999.5219679931868
LZFSM,150.653459801835,150.653459801835,374.43073137504524,395.60398019977964
UZK,0.26306039811112586,0.3892065788006612,0.3892065788006612,0.2801332446217734
LZPK,0.005280324191306135,0.005280324191306135,0.0035287319052004964,0.001621684428411301
LZSK,0.10120745908368738,0.10120745908368738,0.0687824393538701,0.04003364437271175
ADIMP,0.19993091269338165,0.132875073735266,0.132875073735266,0.14771514622369594
PCTIM,0.1055635647299305,0.04192763160423774,0.08606644213379504,0.06380735379887373
ZPERC,140.2475817912455,290.52681559885605,290.52681559885605,262.83924090670234
REXP,3.1775928717599125,3.9172405867619218,3.9172405867619218,4.396036055353136
PFREE,0.7997531698840207,0.7997531698840207,0.000617937383772596,0.7476063554032865
NUH,1.99658937954739,3.05469291613066,3.440446936455796,3.576345501162456
KUH,3.976422947145018,2.025003338390892,1.7918078465468676,1.6120033605874209
NMSK,,,,
KMSK,,,,
XMSK,,,,
