datahora,chuva_mm,etp_mm,q_m3s
2019-09-04 18:00:00+00:00,0.000,1.884,1674.485
2019-09-05 00:00:00+00:00,0.000,0.419,1640.332
2019-09-05 06:00:00+00:00,0.000,0.263,1433.673
2019-09-05 12:00:00+00:00,0.000,1.557,1295.855
2019-09-05 18:00:00+00:00,0.004,2.699,1302.850
2019-09-06 00:00:00+00:00,0.048,0.430,1320.858
2019-09-06 06:00:00+00:00,0.000,0.299,1313.792
2019-09-06 12:00:00+00:00,0.000,1.928,1304.673
2019-09-06 18:00:00+00:00,0.000,2.947,1545.747
2019-09-07 00:00:00+00:00,0.000,0.544,1724.023
2019-09-07 06:00:00+00:00,0.000,0.445,1599.330
2019-09-07 12:00:00+00:00,0.081,2.100,1361.208
2019-09-07 18:00:00+00:00,0.000,2.803,1226.705
2019-09-08 00:00:00+00:00,0.000,0.583,1166.967
2019-09-08 06:00:00+00:00,0.000,0.453,1065.297
2019-09-08 12:00:00+00:00,0.000,1.585,943.178
2019-09-08 18:00:00+00:00,0.000,1.981,861.515
2019-09-09 00:00:00+00:00,0.000,0.345,814.735
2019-09-09 06:00:00+00:00,0.000,0.183,793.050
2019-09-09 12:00:00+00:00,0.000,1.186,768.383
2019-09-09 18:00:00+00:00,0.004,1.772,728.210
2019-09-10 00:00:00+00:00,0.000,0.251,682.860
2019-09-10 06:00:00+00:00,0.000,0.156,712.333
2019-09-10 12:00:00+00:00,0.000,1.607,986.048
2019-09-10 18:00:00+00:00,0.000,2.367,1457.115
2019-09-11 00:00:00+00:00,0.000,0.402,1698.367
2019-09-11 06:00:00+00:00,0.000,0.216,1594.177
2019-09-11 12:00:00+00:00,0.000,1.719,1376.663
2019-09-11 18:00:00+00:00,0.000,2.686,1424.018
2019-09-12 00:00:00+00:00,0.000,0.459,1439.287
2019-09-12 06:00:00+00:00,0.000,0.347,1288.110
2019-09-12 12:00:00+00:00,0.000,1.128,1213.362
2019-09-12 18:00:00+00:00,4.744,1.749,1344.017
2019-09-13 00:00:00+00:00,1.393,0.276,1803.492
2019-09-13 06:00:00+00:00,1.481,0.189,1552.178
2019-09-13 12:00:00+00:00,0.007,1.072,1195.327
2019-09-13 18:00:00+00:00,0.000,1.531,1036.188
2019-09-14 00:00:00+00:00,0.000,0.238,1307.442
2019-09-14 06:00:00+00:00,0.489,0.134,1393.315
2019-09-14 12:00:00+00:00,0.000,1.030,1160.468
2019-09-14 18:00:00+00:00,0.000,1.442,991.122
2019-09-15 00:00:00+00:00,0.000,0.195,1103.530
2019-09-15 06:00:00+00:00,0.000,0.123,1254.408
2019-09-15 12:00:00+00:00,0.000,1.199,1064.250
2019-09-15 18:00:00+00:00,0.000,1.726,875.420
2019-09-16 00:00:00+00:00,0.000,0.165,754.465
2019-09-16 06:00:00+00:00,0.000,0.094,717.185
2019-09-16 12:00:00+00:00,0.000,1.507,750.205
2019-09-16 18:00:00+00:00,0.000,2.157,726.278
2019-09-17 00:00:00+00:00,0.000,0.301,677.515
2019-09-17 06:00:00+00:00,0.000,0.161,633.555
2019-09-17 12:00:00+00:00,0.000,1.594,630.043
2019-09-17 18:00:00+00:00,0.000,2.663,900.242
2019-09-18 00:00:00+00:00,0.000,0.406,1362.658
2019-09-18 06:00:00+00:00,0.000,0.283,1280.615
2019-09-18 12:00:00+00:00,0.000,1.727,1034.597
2019-09-18 18:00:00+00:00,0.007,2.343,1135.173
2019-09-19 00:00:00+00:00,0.000,0.321,1502.025
2019-09-19 06:00:00+00:00,0.000,0.217,1409.782
2019-09-19 12:00:00+00:00,0.000,2.001,1183.275
2019-09-19 18:00:00+00:00,0.715,2.559,1255.507
2019-09-20 00:00:00+00:00,3.322,0.406,1543.272
2019-09-20 06:00:00+00:00,2.074,0.327,1377.292
2019-09-20 12:00:00+00:00,4.770,1.722,1162.552
2019-09-20 18:00:00+00:00,0.030,2.531,1126.865
2019-09-21 00:00:00+00:00,0.126,0.458,1374.073
2019-09-21 06:00:00+00:00,0.781,0.320,1347.992
2019-09-21 12:00:00+00:00,0.070,1.987,1155.580
2019-09-21 18:00:00+00:00,0.141,2.699,1042.018
2019-09-22 00:00:00+00:00,0.041,0.431,1018.257
2019-09-22 06:00:00+00:00,0.026,0.252,987.838
2019-09-22 12:00:00+00:00,0.000,1.993,873.530
2019-09-22 18:00:00+00:00,0.000,2.620,756.860
2019-09-23 00:00:00+00:00,0.000,0.422,682.858
2019-09-23 06:00:00+00:00,0.000,0.259,644.950
2019-09-23 12:00:00+00:00,0.000,1.789,646.260
2019-09-23 18:00:00+00:00,0.000,2.410,642.620
2019-09-24 00:00:00+00:00,0.048,0.473,642.167
2019-09-24 06:00:00+00:00,0.048,0.299,650.292
2019-09-24 12:00:00+00:00,0.000,1.431,649.327
2019-09-24 18:00:00+00:00,0.030,1.786,861.573
2019-09-25 00:00:00+00:00,0.211,0.265,1219.248
2019-09-25 06:00:00+00:00,0.015,0.169,1131.322
2019-09-25 12:00:00+00:00,0.000,1.684,924.618
2019-09-25 18:00:00+00:00,0.000,2.333,836.793
2019-09-26 00:00:00+00:00,0.000,0.253,1053.853
2019-09-26 06:00:00+00:00,0.000,0.213,1132.295
2019-09-26 12:00:00+00:00,0.000,1.844,1008.410
2019-09-26 18:00:00+00:00,0.000,2.561,1125.418
2019-09-27 00:00:00+00:00,0.000,0.459,1344.725
2019-09-27 06:00:00+00:00,0.000,0.307,1235.773
2019-09-27 12:00:00+00:00,0.000,2.109,1043.663
2019-09-27 18:00:00+00:00,0.000,2.868,1085.253
2019-09-28 00:00:00+00:00,0.000,0.437,1289.197
2019-09-28 06:00:00+00:00,0.000,0.321,1261.472
2019-09-28 12:00:00+00:00,0.000,1.536,1109.133
2019-09-28 18:00:00+00:00,0.000,1.839,1009.947
2019-09-29 00:00:00+00:00,0.000,0.248,996.282
2019-09-29 06:00:00+00:00,0.000,0.178,938.033
2019-09-29 12:00:00+00:00,0.000,1.759,822.238
2019-09-29 18:00:00+00:00,0.000,2.277,716.503
2019-09-30 00:00:00+00:00,0.000,0.324,646.060
2019-09-30 06:00:00+00:00,0.000,0.254,600.972
2019-09-30 12:00:00+00:00,0.000,1.675,581.270
2019-09-30 18:00:00+00:00,0.000,2.078,576.313
2019-10-01 00:00:00+00:00,0.000,0.313,574.718
2019-10-01 06:00:00+00:00,0.000,0.156,577.192
2019-10-01 12:00:00+00:00,0.000,1.563,580.752
2019-10-01 18:00:00+00:00,0.000,2.211,694.927
2019-10-02 00:00:00+00:00,0.000,0.261,982.610
2019-10-02 06:00:00+00:00,0.000,0.178,1081.065
2019-10-02 12:00:00+00:00,0.011,1.683,952.665
2019-10-02 18:00:00+00:00,0.485,2.440,973.970
2019-10-03 00:00:00+00:00,11.204,0.269,1146.213
2019-10-03 06:00:00+00:00,3.922,0.181,1190.102
2019-10-03 12:00:00+00:00,0.041,1.883,1105.433
2019-10-03 18:00:00+00:00,0.052,2.667,1203.713
2019-10-04 00:00:00+00:00,0.004,0.300,1440.637
2019-10-04 06:00:00+00:00,0.004,0.211,1366.408
2019-10-04 12:00:00+00:00,0.004,2.063,1115.728
2019-10-04 18:00:00+00:00,0.004,2.695,1042.390
2019-10-05 00:00:00+00:00,0.100,0.357,1159.470
2019-10-05 06:00:00+00:00,0.000,0.199,1132.530
2019-10-05 12:00:00+00:00,0.126,1.602,980.202
2019-10-05 18:00:00+00:00,8.574,1.976,1083.385
2019-10-06 00:00:00+00:00,4.530,0.273,1350.348
2019-10-06 06:00:00+00:00,5.900,0.189,1251.045
2019-10-06 12:00:00+00:00,0.037,1.582,1039.120
2019-10-06 18:00:00+00:00,0.000,2.310,888.467
2019-10-07 00:00:00+00:00,0.000,0.366,781.195
2019-10-07 06:00:00+00:00,0.030,0.193,703.488
2019-10-07 12:00:00+00:00,0.000,1.844,657.453
2019-10-07 18:00:00+00:00,0.000,2.360,625.215
2019-10-08 00:00:00+00:00,0.000,0.355,611.497
2019-10-08 06:00:00+00:00,0.004,0.228,607.265
2019-10-08 12:00:00+00:00,0.578,1.843,604.690
2019-10-08 18:00:00+00:00,0.004,2.648,617.165
2019-10-09 00:00:00+00:00,0.000,0.300,810.837
2019-10-09 06:00:00+00:00,0.000,0.187,1005.928
2019-10-09 12:00:00+00:00,0.000,1.964,904.635
2019-10-09 18:00:00+00:00,0.000,2.595,909.935
2019-10-10 00:00:00+00:00,0.000,0.434,1149.245
2019-10-10 06:00:00+00:00,0.000,0.213,1115.408
2019-10-10 12:00:00+00:00,0.000,2.090,926.362
2019-10-10 18:00:00+00:00,0.000,2.370,853.192
2019-10-11 00:00:00+00:00,0.000,0.238,1154.472
2019-10-11 06:00:00+00:00,0.000,0.159,1198.293
2019-10-11 12:00:00+00:00,0.000,1.998,997.692
2019-10-11 18:00:00+00:00,0.004,2.723,1021.235
2019-10-12 00:00:00+00:00,0.000,0.327,1263.495
