datahora,chuva_mm,etp_mm,q_m3s
2019-09-04 18:00:00+00:00,0.000,1.554,34.845
2019-09-05 00:00:00+00:00,0.062,0.228,35.155
2019-09-05 06:00:00+00:00,0.015,0.114,33.732
2019-09-05 12:00:00+00:00,0.000,1.302,36.420
2019-09-05 18:00:00+00:00,0.007,2.257,38.412
2019-09-06 00:00:00+00:00,1.279,0.180,40.792
2019-09-06 06:00:00+00:00,0.002,0.144,38.812
2019-09-06 12:00:00+00:00,2.728,1.642,37.570
2019-09-06 18:00:00+00:00,0.008,2.483,36.925
2019-09-07 00:00:00+00:00,0.033,0.247,37.218
2019-09-07 06:00:00+00:00,0.003,0.196,35.145
2019-09-07 12:00:00+00:00,0.002,1.835,35.200
2019-09-07 18:00:00+00:00,0.000,2.512,34.123
2019-09-08 00:00:00+00:00,0.000,0.310,34.598
2019-09-08 06:00:00+00:00,0.000,0.225,33.553
2019-09-08 12:00:00+00:00,0.000,1.196,33.892
2019-09-08 18:00:00+00:00,0.000,1.581,32.515
2019-09-09 00:00:00+00:00,0.005,0.129,29.730
2019-09-09 06:00:00+00:00,0.000,0.061,28.072
2019-09-09 12:00:00+00:00,0.000,1.033,31.605
2019-09-09 18:00:00+00:00,0.030,1.647,33.820
2019-09-10 00:00:00+00:00,0.000,0.116,36.302
2019-09-10 06:00:00+00:00,0.011,0.046,36.652
2019-09-10 12:00:00+00:00,0.057,1.265,37.327
2019-09-10 18:00:00+00:00,0.139,1.935,37.353
2019-09-11 00:00:00+00:00,0.189,0.185,37.773
2019-09-11 06:00:00+00:00,0.000,0.083,34.828
2019-09-11 12:00:00+00:00,0.000,1.529,33.010
2019-09-11 18:00:00+00:00,0.020,2.213,32.035
2019-09-12 00:00:00+00:00,0.025,0.196,34.883
2019-09-12 06:00:00+00:00,0.011,0.139,35.007
2019-09-12 12:00:00+00:00,0.000,1.010,33.640
2019-09-12 18:00:00+00:00,1.216,1.400,34.310
2019-09-13 00:00:00+00:00,4.441,0.135,34.045
2019-09-13 06:00:00+00:00,0.002,0.069,34.613
2019-09-13 12:00:00+00:00,0.002,1.064,32.427
2019-09-13 18:00:00+00:00,0.008,1.407,32.982
2019-09-14 00:00:00+00:00,0.005,0.092,33.613
2019-09-14 06:00:00+00:00,0.002,0.076,32.902
2019-09-14 12:00:00+00:00,0.002,0.996,31.040
2019-09-14 18:00:00+00:00,0.000,1.402,30.592
2019-09-15 00:00:00+00:00,0.000,0.111,31.332
2019-09-15 06:00:00+00:00,0.000,0.068,30.052
2019-09-15 12:00:00+00:00,0.000,1.053,30.757
2019-09-15 18:00:00+00:00,0.000,1.561,31.667
2019-09-16 00:00:00+00:00,0.000,0.097,30.582
2019-09-16 06:00:00+00:00,0.000,0.051,26.597
2019-09-16 12:00:00+00:00,0.000,1.340,24.067
2019-09-16 18:00:00+00:00,0.000,1.843,29.223
2019-09-17 00:00:00+00:00,0.000,0.185,33.692
2019-09-17 06:00:00+00:00,0.000,0.099,34.127
2019-09-17 12:00:00+00:00,0.000,1.398,34.662
2019-09-17 18:00:00+00:00,0.000,2.216,32.873
2019-09-18 00:00:00+00:00,0.002,0.231,33.258
2019-09-18 06:00:00+00:00,0.000,0.144,31.555
2019-09-18 12:00:00+00:00,0.000,1.442,29.782
2019-09-18 18:00:00+00:00,2.598,2.008,27.478
2019-09-19 00:00:00+00:00,0.062,0.159,27.753
2019-09-19 06:00:00+00:00,0.000,0.123,27.072
2019-09-19 12:00:00+00:00,0.002,1.631,25.507
2019-09-19 18:00:00+00:00,0.985,2.202,26.793
2019-09-20 00:00:00+00:00,20.695,0.183,32.020
2019-09-20 06:00:00+00:00,3.257,0.126,36.202
2019-09-20 12:00:00+00:00,10.964,1.377,36.612
2019-09-20 18:00:00+00:00,0.880,2.042,44.488
2019-09-21 00:00:00+00:00,0.011,0.217,44.578
2019-09-21 06:00:00+00:00,0.000,0.117,43.470
2019-09-21 12:00:00+00:00,0.002,1.787,43.888
2019-09-21 18:00:00+00:00,0.000,2.519,49.085
2019-09-22 00:00:00+00:00,0.000,0.217,54.892
2019-09-22 06:00:00+00:00,0.000,0.129,55.382
2019-09-22 12:00:00+00:00,0.021,1.636,53.088
2019-09-22 18:00:00+00:00,0.000,2.367,57.160
2019-09-23 00:00:00+00:00,0.000,0.188,59.402
2019-09-23 06:00:00+00:00,0.000,0.118,56.915
2019-09-23 12:00:00+00:00,0.000,1.690,51.367
2019-09-23 18:00:00+00:00,0.111,2.309,45.957
2019-09-24 00:00:00+00:00,0.000,0.238,47.075
2019-09-24 06:00:00+00:00,0.000,0.139,46.262
2019-09-24 12:00:00+00:00,0.000,1.210,51.147
2019-09-24 18:00:00+00:00,0.000,1.592,52.540
2019-09-25 00:00:00+00:00,0.002,0.156,52.460
2019-09-25 06:00:00+00:00,0.000,0.069,50.723
2019-09-25 12:00:00+00:00,0.000,1.465,52.498
2019-09-25 18:00:00+00:00,0.000,2.048,48.783
2019-09-26 00:00:00+00:00,0.000,0.132,46.245
2019-09-26 06:00:00+00:00,0.000,0.091,44.035
2019-09-26 12:00:00+00:00,0.000,1.602,40.490
2019-09-26 18:00:00+00:00,0.000,2.368,42.838
2019-09-27 00:00:00+00:00,0.000,0.234,40.465
2019-09-27 06:00:00+00:00,0.000,0.125,38.905
2019-09-27 12:00:00+00:00,0.000,1.748,36.495
2019-09-27 18:00:00+00:00,0.000,2.381,36.340
2019-09-28 00:00:00+00:00,0.000,0.259,37.417
2019-09-28 06:00:00+00:00,0.000,0.113,35.865
2019-09-28 12:00:00+00:00,0.000,1.211,34.925
2019-09-28 18:00:00+00:00,0.003,1.567,34.045
2019-09-29 00:00:00+00:00,0.000,0.111,34.525
2019-09-29 06:00:00+00:00,0.000,0.071,32.835
2019-09-29 12:00:00+00:00,0.000,1.585,32.958
2019-09-29 18:00:00+00:00,0.000,2.117,33.512
2019-09-30 00:00:00+00:00,0.000,0.174,32.080
2019-09-30 06:00:00+00:00,0.000,0.149,32.253
2019-09-30 12:00:00+00:00,0.000,1.332,30.660
2019-09-30 18:00:00+00:00,0.000,1.745,31.033
2019-10-01 00:00:00+00:00,0.000,0.105,31.503
2019-10-01 06:00:00+00:00,0.000,0.038,32.383
2019-10-01 12:00:00+00:00,0.000,1.320,31.192
2019-10-01 18:00:00+00:00,0.000,1.895,30.183
2019-10-02 00:00:00+00:00,0.000,0.135,31.388
2019-10-02 06:00:00+00:00,0.000,0.061,29.578
2019-10-02 12:00:00+00:00,0.000,1.622,28.378
2019-10-02 18:00:00+00:00,0.136,2.050,27.290
2019-10-03 00:00:00+00:00,13.921,0.152,26.727
2019-10-03 06:00:00+00:00,5.689,0.079,28.365
2019-10-03 12:00:00+00:00,0.005,1.687,26.458
2019-10-03 18:00:00+00:00,0.005,2.425,27.477
2019-10-04 00:00:00+00:00,0.113,0.196,31.392
2019-10-04 06:00:00+00:00,0.028,0.097,35.618
2019-10-04 12:00:00+00:00,0.011,1.837,41.890
2019-10-04 18:00:00+00:00,0.062,2.454,42.883
2019-10-05 00:00:00+00:00,0.092,0.184,38.418
2019-10-05 06:00:00+00:00,0.000,0.096,37.757
2019-10-05 12:00:00+00:00,0.020,1.560,35.045
2019-10-05 18:00:00+00:00,0.418,1.807,34.982
2019-10-06 00:00:00+00:00,10.374,0.147,34.003
2019-10-06 06:00:00+00:00,6.170,0.080,33.397
2019-10-06 12:00:00+00:00,2.677,1.379,32.965
2019-10-06 18:00:00+00:00,0.203,1.972,34.675
2019-10-07 00:00:00+00:00,0.061,0.144,33.435
2019-10-07 06:00:00+00:00,0.002,0.086,33.668
2019-10-07 12:00:00+00:00,0.005,1.586,39.178
2019-10-07 18:00:00+00:00,0.003,2.075,45.702
2019-10-08 00:00:00+00:00,0.000,0.185,45.457
2019-10-08 06:00:00+00:00,0.000,0.110,45.157
2019-10-08 12:00:00+00:00,0.033,1.424,47.668
2019-10-08 18:00:00+00:00,0.149,2.175,46.152
2019-10-09 00:00:00+00:00,0.213,0.139,42.340
2019-10-09 06:00:00+00:00,0.000,0.075,40.565
2019-10-09 12:00:00+00:00,0.000,1.676,37.382
2019-10-09 18:00:00+00:00,0.000,2.392,38.210
2019-10-10 00:00:00+00:00,0.000,0.186,35.888
2019-10-10 06:00:00+00:00,0.000,0.094,35.855
2019-10-10 12:00:00+00:00,0.000,1.819,36.075
2019-10-10 18:00:00+00:00,0.005,2.126,38.145
2019-10-11 00:00:00+00:00,0.000,0.167,39.538
2019-10-11 06:00:00+00:00,0.000,0.076,36.997
2019-10-11 12:00:00+00:00,0.000,1.677,37.498
2019-10-11 18:00:00+00:00,0.000,2.341,37.252
2019-10-12 00:00:00+00:00,0.000,0.143,37.107
2019-10-12 06:00:00+00:00,0.000,0.078,37.900
