datahora,pme_0,pme_1,pme_2,pme_3,pme_4,pme_5,pme_6,pme_7,pme_8,pme_9,pme_10,pme_11,pme_12,pme_13,pme_14,pme_15,pme_16,pme_17,pme_18,pme_19,pme_20,pme_21,pme_22,pme_23,pme_24,pme_25,pme_26,pme_27,pme_28,pme_29,pme_30,pme_31,pme_32,pme_33,pme_34,pme_35,pme_36,pme_37,pme_38,pme_39,pme_40,pme_41,pme_42,pme_43,pme_44,pme_45,pme_46,pme_47,pme_48,pme_49,pme_50,etp
2021-08-02 18:00:00+00:00,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.001,0.003,0.002,0.000,0.000,0.032,0.001,0.000,0.003,0.000,0.001,0.001,0.010,0.000,0.004,0.000,0.000,0.000,0.001,0.000,0.087,0.001,0.000,0.001,0.001,0.001,0.000,0.000,0.001,0.003,0.002,0.000,0.001,0.000,0.009,0.000,0.002,0.001,0.000,0.006,0.000,0.000,0.000,1.645
2021-08-03 00:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.001,0.005,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.080
2021-08-03 06:00:00+00:00,0.028,0.045,0.018,0.005,0.016,0.033,0.020,0.032,0.048,0.022,0.015,0.034,0.011,0.019,0.018,0.048,0.057,0.022,0.032,0.015,0.033,0.018,0.009,0.010,0.201,0.048,0.014,0.031,0.009,0.047,0.053,0.015,0.042,0.026,0.013,0.036,0.030,0.023,0.036,0.022,0.045,0.007,0.032,0.035,0.048,0.004,0.007,0.011,0.002,0.036,0.042,0.024
2021-08-03 12:00:00+00:00,0.100,0.054,0.070,0.067,0.110,0.064,0.164,0.045,0.163,0.098,0.077,0.056,0.063,0.079,0.104,0.091,0.252,0.132,0.061,0.102,0.083,0.098,0.019,0.052,0.078,0.093,0.084,0.174,0.027,0.057,0.039,0.039,0.050,0.122,0.076,0.079,0.139,0.086,0.109,0.185,0.101,0.054,0.056,0.113,0.074,0.039,0.141,0.064,0.039,0.150,0.112,1.007
2021-08-03 18:00:00+00:00,0.011,0.001,0.000,0.000,0.001,0.015,0.008,0.000,0.073,0.016,0.008,0.001,0.000,0.002,0.003,0.008,0.014,0.001,0.002,0.093,0.012,0.005,0.000,0.000,0.005,0.003,0.001,0.001,0.000,0.001,0.000,0.007,0.002,0.000,0.000,0.000,0.002,0.009,0.000,0.051,0.012,0.000,0.003,0.011,0.008,0.000,0.009,0.000,0.000,0.002,0.011,1.669
2021-08-04 00:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.065
2021-08-04 06:00:00+00:00,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.001,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.001,0.000,0.000,0.021
2021-08-04 12:00:00+00:00,0.000,0.006,0.001,0.004,0.006,0.011,0.033,0.000,0.001,0.000,0.001,0.002,0.015,0.026,0.000,0.027,0.002,0.002,0.000,0.006,0.006,0.039,0.003,0.001,0.000,0.000,0.060,0.002,0.001,0.001,0.000,0.000,0.045,0.005,0.058,0.007,0.004,0.021,0.030,0.010,0.000,0.003,0.002,0.000,0.002,0.012,0.001,0.006,0.038,0.001,0.000,1.023
2021-08-04 18:00:00+00:00,0.000,0.004,0.000,0.000,0.192,0.002,0.005,0.000,0.009,0.000,0.001,0.000,0.000,0.078,0.114,0.037,0.000,0.000,0.003,0.000,0.004,0.013,0.001,0.026,0.000,0.002,0.004,0.000,0.004,0.000,0.003,0.000,0.053,0.000,0.019,0.000,0.000,0.000,0.000,0.038,0.000,0.117,0.000,0.013,0.028,0.090,0.001,0.000,0.004,0.000,0.000,1.859
2021-08-05 00:00:00+00:00,0.002,0.011,0.000,0.000,0.143,0.012,0.005,0.003,0.046,0.000,0.005,0.000,0.000,0.030,0.075,0.018,0.021,0.000,0.176,0.000,0.289,0.021,0.049,0.122,0.006,0.018,0.030,0.000,0.195,0.001,0.020,0.000,0.002,0.001,0.005,0.015,0.000,0.010,0.001,0.140,0.168,0.344,0.026,0.133,0.060,0.048,0.058,0.018,0.146,0.062,0.013,0.077
2021-08-05 06:00:00+00:00,0.037,0.015,0.006,0.007,0.121,0.029,0.011,0.039,0.235,0.016,0.151,0.012,0.007,0.005,0.178,0.275,0.082,0.002,0.096,0.011,0.119,0.059,0.273,0.137,0.150,0.016,0.065,0.016,0.138,0.038,0.031,0.034,0.058,0.011,0.053,0.094,0.000,0.035,0.043,0.064,0.091,0.123,0.093,0.173,0.040,0.119,0.108,0.071,0.046,0.051,0.031,0.027
2021-08-05 12:00:00+00:00,0.121,0.113,0.010,0.029,0.557,0.134,0.036,0.064,0.151,0.031,0.196,0.059,0.354,0.022,0.135,0.022,0.150,0.018,0.112,0.254,0.086,0.129,0.089,0.333,0.129,0.300,0.050,0.044,0.117,0.070,0.091,0.117,0.083,0.025,0.070,0.165,0.015,0.025,0.032,0.101,0.185,0.104,0.063,0.091,0.019,0.057,0.018,0.018,0.152,0.060,0.303,1.035
